1,17,11,20
2,105,76,122
3,77,59,83
4,55,59,69
5,37,42,59
6,32,31,27
7,80,59,101
8,187,149,172
9,209,178,136
10,187,177,153
11,131,153,169
12,79,79,76
13,82,60,99
14,174,128,190
15,186,154,134
16,137,164,181
17,88,125,161
18,85,86,79
19,16,11,18
20,55,39,70
21,47,40,47
22,34,44,59
23,34,36,44
24,41,40,31
